date,temp_max_c,temp_min_c,rainfall_mm,humidity_pct,solar_rad,year,month,month_name,week,day_of_week,is_rainy_day
2020-08-02,27.01,21.94,3.37,91.39,3.9252,2020,8,August,31,Sunday,1
2020-08-03,28.66,22.15,2.17,89.23,4.1599,2020,8,August,32,Monday,1
2020-08-04,28.92,21.51,0.1,87.2,5.154,2020,8,August,32,Tuesday,0
2020-08-05,28.67,20.27,0.15,87.23,3.9554,2020,8,August,32,Wednesday,0
2020-08-06,26.28,20.94,0.09,88.52,3.9542,2020,8,August,32,Thursday,0
2020-08-07,27.67,19.74,0.08,87.18,4.0702,2020,8,August,32,Friday,0
2020-08-08,28.88,20.35,0.07,86.9,5.1636,2020,8,August,32,Saturday,0
2020-08-09,28.45,19.93,0.05,85.91,6.0084,2020,8,August,32,Sunday,0
2020-08-10,28.74,19.91,0.24,86.76,4.4237,2020,8,August,33,Monday,0
2020-08-11,29.12,20.59,0.08,86.44,5.479,2020,8,August,33,Tuesday,0
2020-08-12,30.04,19.72,0.03,83.03,6.2568,2020,8,August,33,Wednesday,0
2020-08-13,29.94,20.71,0.12,86.19,4.8782,2020,8,August,33,Thursday,0
2020-08-14,28.32,21.78,1.09,89.04,3.7838,2020,8,August,33,Friday,1
2020-08-15,29.63,20.96,1.15,87.92,4.349,2020,8,August,33,Saturday,1
2020-08-16,29.48,21.33,1.09,86.95,5.028,2020,8,August,33,Sunday,1
2020-08-17,29.99,21.52,4.12,87.47,4.1105,2020,8,August,34,Monday,1
2020-08-18,29.64,22.59,4.03,88.37,4.357,2020,8,August,34,Tuesday,1
2020-08-19,29.43,22.68,6.7,88.79,4.3627,2020,8,August,34,Wednesday,1
2020-08-20,27.86,22.55,53.25,91.91,3.6312,2020,8,August,34,Thursday,1
2020-08-21,26.82,22.7,8.02,92.13,2.6554,2020,8,August,34,Friday,1
2020-08-22,29.82,22.28,9.3,88.3,4.9884,2020,8,August,34,Saturday,1
2020-08-23,26.46,22.26,6.48,91.66,4.4772,2020,8,August,34,Sunday,1
2020-08-24,27.18,21.76,1.98,90.95,4.147,2020,8,August,35,Monday,1
2020-08-25,29.7,20.56,0.34,84.67,5.1216,2020,8,August,35,Tuesday,0
2020-08-26,29.12,21.23,0.75,85.63,4.2619,2020,8,August,35,Wednesday,0
2020-08-27,27.13,22.14,2.14,90.89,4.0781,2020,8,August,35,Thursday,1
2020-08-28,27.59,22.17,9.68,91.49,4.5763,2020,8,August,35,Friday,1
2020-08-29,27.31,21.38,19.11,89.3,3.8294,2020,8,August,35,Saturday,1
2020-08-30,28.86,21.54,10.76,87.55,4.2804,2020,8,August,35,Sunday,1
2020-08-31,29.37,21.74,11.39,88.2,3.4709,2020,8,August,36,Monday,1
2021-06-01,28.73,24.09,38.1,87.58,2.5068,2021,6,June,22,Tuesday,1
2021-06-02,30.27,23.66,3.0,87.43,5.3244,2021,6,June,22,Wednesday,1
2021-06-03,30.59,23.06,4.86,87.53,6.0583,2021,6,June,22,Thursday,1
2021-06-04,26.99,24.38,5.87,93.58,4.6402,2021,6,June,22,Friday,1
2021-06-05,29.41,23.66,11.63,87.78,3.133,2021,6,June,22,Saturday,1
2021-06-06,30.08,23.19,19.65,82.31,4.3387,2021,6,June,22,Sunday,1
2021-06-07,31.6,23.37,0.25,78.03,6.4356,2021,6,June,23,Monday,0
2021-06-08,29.31,23.84,8.72,90.2,4.4328,2021,6,June,23,Tuesday,1
2021-06-09,28.1,23.79,20.26,93.2,2.7636,2021,6,June,23,Wednesday,1
2021-06-10,32.68,23.53,1.18,78.08,6.1044,2021,6,June,23,Thursday,1
2021-06-11,28.34,24.07,2.53,90.49,2.9033,2021,6,June,23,Friday,1
2021-06-12,29.96,23.34,1.69,86.93,5.0405,2021,6,June,23,Saturday,1
2021-06-13,29.55,23.77,0.56,84.19,4.9092,2021,6,June,23,Sunday,0
2021-06-14,29.8,24.17,1.82,90.34,3.9509,2021,6,June,24,Monday,1
2021-06-15,26.87,23.68,10.51,92.58,4.6555,2021,6,June,24,Tuesday,1
2021-06-16,29.26,23.12,16.68,88.59,5.7682,2021,6,June,24,Wednesday,1
2021-06-17,29.04,22.76,11.98,88.51,5.5706,2021,6,June,24,Thursday,1
2021-06-18,29.36,23.3,18.67,88.27,4.3085,2021,6,June,24,Friday,1
2021-06-19,26.71,23.8,27.36,93.87,5.694,2021,6,June,24,Saturday,1
